Время,Время моделирования,Квазистац - ступеньки
0,29660.8,-6.04087
0,29998.6,5.23021
0,30335.9,0.660246
0,30672.7,-10.6573
0,31010.9,-2.92494
0,31348.5,15.528
0,31684.7,-17.9272
0,32023.8,0.391074
0,32361.1,9.17208
0,32697.4,-9.07528
0,33035.2,-18.363
0,33373.7,2.34854
0,33710.8,-6.48641
0,34048.3,9.2085
0,34384.9,6.67058
0,34721.5,-12.9006
0,35059.8,4.34947
0,35396.7,-5.50557
0,35734.2,8.9361
0,36070.4,10.2973
0,36406.7,-10.2291
0,36744.4,11.3596
0,37080.8,-1.19963
0,37418,-6.72946
0,37755.2,4.17863
0,38091.7,-15.6615
0,38429.9,-3.93007
0,38766.9,1.28902
0,39103.7,5.8565
0,39439.8,-0.557249
0,39777,-0.0772624
0,40113.8,1.85539
0,40450.8,5.63645
0,40787,0.0367181
0,41124.6,-0.15168
0,41461.1,3.29925
0,41797.6,-10.0026
0,42135,-13.6946
0,42472.8,7.38313
0,42808.8,4.34585
0,43145.5,-5.39902
0,43482.7,-7.94841
0,43820.1,-10.7328
0,44158,0.69333
0,44494.6,-0.647001
0,44831.4,8.2721
0,45168.1,-3.94105
0,45504.8,11.2338
0,45840.7,-0.767466
0,46177.5,10.4618
0,46513.9,-2.35224
0,46851.4,-3.83933
0,47188.3,6.11639
0,47524.7,8.36052
0,47860.7,-7.49851
0,48198.6,3.06319
0,48534.9,-10.9985
0,48872.4,9.63322
0,49208.6,9.7431
0,49544.2,0.0242918
0,49881.3,-9.71718
0,50218.5,-13.5297
0,50556.6,-9.39248
0,50894.1,0.178446
0,51231,-14.2905
0,51568.5,-11.4662
0,51906.3,3.83454
0,52242.5,-2.46905
0,52579,3.18505
0,52915.5,11.7962
0,53251.7,-2.49752
0,53588.6,-1.35921
0,53925.3,-3.42021
0,54262.1,9.19535
0,54598.5,1.1231
0,54935.2,-18.633
0,55273,5.06093
0,55609.3,-12.8155
0,55946.4,-8.48706
0,56283.7,6.11654
0,56619.6,4.0771
0,56955.8,-1.01964
0,57292.7,10.0809
0,57628.5,-8.37652
0,57965.4,11.5383
0,58301.4,-2.63441
0,58637.7,-13.8049
0,58975.5,-13.3338
0,59313.3,2.57816
0,59649.5,3.66135
0,59985.7,-8.27094
0,60322.7,-28.18
0,60661.7,-2.34391
0,60998.1,-1.4906
0,61335.1,-3.69279
0,61672.1,0.1264
0,62008.6,15.764
0,62343.6,1.42975
0,62679.9,1.71373
0,63016.1,-13.9074
0,63353.4,6.18319
0,63689.6,-4.48979
0,64026.6,0.781834
0,64363.2,-12.0795
0,64700.1,-10.3051
0,65037.3,6.79104
0,65373.8,7.081
0,65710.5,-12.5666
0,66048.5,-15.7115
0,66386.4,0.562844
0,66723.4,-5.17931
0,67060.1,1.02939
0,67396.8,3.67787
0,67733,4.28618
0,68069.4,3.68073
0,68405.4,-8.02651
0,68742.1,13.7428
0,69077.7,-11.6248
0,69414.8,-9.70869
0,69752.2,-20.2021
0,70089.9,-16.3783
0,70427.5,-15.5951
0,70765.3,-7.57175
0,71102.2,-4.34947
0,71439,1.60567
0,71775.9,-6.66677
0,72112.9,-13.4289
0,72450.3,-16.871
0,72788.4,-4.5031
0,73125.1,-0.717237
0,73461.9,-9.22186
0,73798.8,-7.10837
0,74135.9,-4.27053
0,74472.7,1.17387
0,74808.8,-8.78595
0,75146.5,-6.42977
0,75483.6,2.32218
0,75819.8,-2.59965
0,76156.1,-2.67666
0,76492.9,-19.9427
0,76831.3,-2.54606
0,77167.5,-4.66951
0,77504.6,-13.1833
0,77842.3,-6.33705
0,78179.1,-7.76504
0,78516.3,4.40353
0,78853,6.10032
0,79189,13.6737
0,79524.6,2.48389
0,79860.6,-10.4754
0,80198,4.73829
0,80534.3,-7.25424
0,80871.3,-7.50499
0,81209.1,11.414
0,81545.1,-19.5871
0,81882.9,-5.93004
0,82219.9,-13.9568
0,82557.8,-2.55453
0,82894.3,-15.3662
0,83232,-8.1376
0,83569.2,-2.81099
0,83906.4,-8.95005
0,84243.3,-2.50834
0,84580,1.9191
0,84916.2,5.1864
0,85252.5,5.90657
0,85588.7,-4.51108
