Время,Время моделирования,Стац - текущая реология
0,265000,1.67538
0,265500,3.04699
0,266000,-2.7547
0,266500,8.63434
0,267000,1.99658
0,267500,0.764883
0,268000,-6.68949
0,268500,0.948813
0,269000,0.85549
0,269500,-0.844724
0,270000,-6.69492
0,270500,3.94546
0,271000,-0.544592
0,271500,-7.7208
0,272000,0.648489
0,272500,-3.60285
0,273000,0.520991
0,273500,-3.05472
0,274000,-5.53616
0,274500,2.145
0,275000,-14.0632
0,275500,-5.996
0,276000,-2.29639
0,276500,-6.77708
0,277000,1.14155
0,277500,-12.7127
0,278000,-8.23201
0,278500,-6.35142
0,279000,-12.2633
0,279500,-1.67987
0,280000,-3.17193
0,280500,-16.1456
0,281000,-9.62617
0,281500,-0.93436
0,282000,-9.11893
0,282500,-9.54146
0,283000,-16.0204
0,283500,-6.53802
0,284000,-164.125
0,284500,-163.128
0,285000,-166.434
0,285500,-173.088
0,286000,-162.043
0,286500,-168.809
0,287000,-163.535
0,287500,-164.075
0,288000,-175.82
0,288500,-160.465
0,289000,-158.24
0,289500,-171.021
0,290000,-176.834
0,290500,-173.642
0,291000,-173.532
0,291500,-170.342
0,292000,-596.331
0,292500,-585.771
0,293000,-580.353
0,293500,-587.53
0,294000,-588.518
0,294500,-586.26
0,295000,-591.155
0,295500,-583.738
0,296000,-578.096
0,296500,-592.535
0,297000,-578.856
0,297500,-584.263
0,298000,-588.242
0,298500,-593.698
0,299000,-583.437
0,299500,-584.513
0,300000,-584.769
0,300500,-589.83
0,301000,-589.251
0,301500,-592.3
0,302000,-589.181
0,302500,-591.32
0,303000,-599.218
0,303500,-305.001
0,304000,-16.5521
0,304500,-7.89044
0,305000,-19.6394
0,305500,-7.81979
0,306000,-20.1042
0,306500,-6.95547
0,307000,-21.5729
0,307500,-14.0308
0,308000,-0.663715
0,308500,-7.70772
0,309000,-0.470352
0,309500,-10.6632
0,310000,-6.45602
0,310500,-0.302408
0,311000,-9.78137
0,311500,-10.5731
0,312000,-2.24489
0,312500,-21.8545
0,313000,-2.1537
0,313500,-7.91006
0,314000,-11.4454
0,314500,-2.43928
0,315000,-5.63786
0,315500,-8.43962
0,316000,-14.6723
0,316500,-10.1709
0,317000,-13.0174
0,317500,-13.4566
0,318000,-16.1455
0,318500,-15.5659
0,319000,-3.4797
0,319500,-9.10555
0,320000,-15.7334
0,320500,-3.64103
0,321000,-7.16723
0,321500,-9.67144
0,322000,-13.102
0,322500,-3.55646
0,323000,-13.8677
0,323500,-18.8888
0,324000,-11.3634
0,324500,-17.027
0,325000,-15.3104
0,325500,-11.609
0,326000,-23.9244
0,326500,-15.3769
0,327000,-14.4152
0,327500,-20.1733
0,328000,-15.1132
0,328500,-16.7729
0,329000,-19.8396
0,329500,-27.8277
0,330000,-21.2887
0,330500,-20.3335
0,331000,-14.3752
0,331500,-22.3779
0,332000,-20.8105
0,332500,-26.8688
0,333000,-25.6115
0,333500,-14.9543
0,334000,-5.46394
0,334500,-20.5751
0,335000,-19.2701
0,335500,-21.5947
0,336000,-19.3285
0,336500,-30.5581
0,337000,-24.7498
0,337500,-23.141
0,338000,-26.517
0,338500,-23.2249
0,339000,-17.691
0,339500,-23.4943
0,340000,-24.2986
0,340500,-20.5424
0,341000,-32.7623
0,341500,-30.9652
0,342000,-31.0968
0,342500,-22.7881
0,343000,-25.7538
0,343500,-23.4658
0,344000,-35.5439
0,344500,-17.5145
0,345000,-26.6994
0,345500,-30.167
0,346000,-26.1171
0,346500,-25.6303
0,347000,-26.1258
0,347500,-29.5218
0,348000,-25.0245
0,348500,-30.243
0,349000,-35.8078
0,349500,-24.4161
0,350000,-35.1585
0,350500,-33.7866
0,351000,-33.0511
0,351500,-29.2693
0,352000,-25.1178
0,352500,-30.6918
0,353000,-30.0476
0,353500,-23.8134
0,354000,-18.8507
0,354500,-22.9373
0,355000,-26.2786
0,355500,-29.5809
0,356000,-35.7813
0,356500,-22.27
0,357000,-21.1461
0,357500,-23.4238
0,358000,-18.2027
0,358500,-21.2069
0,359000,-32.1448
0,359500,-20.8856
0,360000,-15.3821
0,360500,-16.3181
0,361000,-20.7468
0,361500,-30.2789
0,362000,-11.8883
0,362500,-20.6028
0,363000,-24.3681
0,363500,-13.9629
0,364000,-20.9421
0,364500,4.9713
0,365000,-7.75225
0,365500,-23.9971
0,366000,-1.9839
0,366500,-9.7873
0,367000,0.75055
0,367500,3.55839
0,368000,11.4296
0,368500,-0.33655
0,369000,0.83529
0,369500,10.6455
0,370000,17.5057
0,370500,6.96663
0,371000,-2.03563
0,371500,9.4102
0,372000,-6.05909
0,372500,19.0334
0,373000,-2.84354
0,373500,9.30654
0,374000,2.94508
0,374500,9.33787
0,375000,13.7427
0,375500,9.46302
0,376000,12.0999
0,376500,21.9802
0,377000,16.4442
0,377500,-2.87388
0,378000,19.8147
0,378500,1.54445
0,379000,3.6219
0,379500,14.3381
0,380000,8.28119
0,380500,8.08909
0,381000,4.09453
0,381500,12.0448
0,382000,11.1876
0,382500,13.3799
0,383000,5.55905
0,383500,2.56436
0,384000,13.438
0,384500,12.8982
0,385000,77.3195
0,385500,87.6244
0,386000,44.1805
0,386500,40.1764
0,387000,54.1681
0,387500,32.912
0,388000,43.6442
0,388500,49.121
0,389000,30.302
0,389500,52.5981
0,390000,99.1081
0,390500,56.0776
0,391000,18.2447
0,391500,15.3504
0,392000,34.18
0,392500,17.9098
0,393000,30.3109
0,393500,11.7361
0,394000,18.0118
0,394500,5.13789
0,395000,7.18663
0,395500,14.967
0,396000,13.6579
0,396500,28.7961
0,397000,4.1746
0,397500,10.9123
0,398000,-14.3168
0,398500,-27.9422
0,399000,-4.38205
0,399500,-11.2167
0,400000,-14.365
0,400500,-17.445
0,401000,-17.0481
0,401500,-14.9326
0,402000,-13.3233
0,402500,-3.48643
0,403000,-4.6196
0,403500,-2.66866
0,404000,-11.7777
0,404500,-7.48443
0,405000,-8.35146
0,405500,-5.71024
0,406000,-14.4332
0,406500,-0.380594
0,407000,-2.68016
0,407500,-6.3385
0,408000,-11.5905
0,408500,-14.1545
0,409000,-23.7114
0,409500,-5.09119
0,410000,-16.0692
0,410500,-14.5921
0,411000,-7.1115
0,411500,-21.0746
0,412000,-11.0195
0,412500,-1.61331
0,413000,-12.4739
0,413500,7.42691
0,414000,-23.1044
0,414500,-11.4049
0,415000,-5.82208
0,415500,-2.89788
0,416000,-0.871145
0,416500,-4.84749
0,417000,-6.78
0,417500,-0.764919
0,418000,2.5152
0,418500,-17.4867
0,419000,-24.9723
0,419500,-7.38505
0,420000,-12.7359
0,420500,-9.80744
0,421000,-17.5655
0,421500,-4.22488
0,422000,-14.2817
0,422500,-3.98169
0,423000,-8.96988
0,423500,-12.0958
0,424000,-26.9372
0,424500,-14.0329
0,425000,-16.8116
0,425500,-8.5681
0,426000,-12.5846
0,426500,-19.6111
0,427000,-12.4811
0,427500,-11.4931
0,428000,-12.9015
0,428500,-8.59737
0,429000,-3.98195
0,429500,-13.5185
0,430000,-3.1348
0,430500,-20.3512
0,431000,-28.8541
0,431500,-6.33789
0,432000,-3.15305
0,432500,-2.33117
0,433000,-14.4443
0,433500,-0.160743
0,434000,-3.18646
0,434500,-11.212
0,435000,-2.95347
0,435500,0.930638
0,436000,-6.74767
0,436500,-6.08752
0,437000,-18.0108
0,437500,-13.9637
0,438000,-29.5052
0,438500,-4.50012
0,439000,-10.6103
0,439500,-6.84533
0,440000,-11.4638
0,440500,-18.481
0,441000,-23.4049
0,441500,-12.4256
0,442000,-19.0427
0,442500,-10.9082
0,443000,-10.4882
0,443500,-6.8955
0,444000,-11.8494
0,444500,-13.6419
0,445000,-2.93595
0,445500,-25.4885
0,446000,-11.185
0,446500,-26.8566
0,447000,-9.1751
0,447500,-16.412
0,448000,-19.279
0,448500,-20.0024
0,449000,-18.8252
0,449500,-17.7306
0,450000,-11.6596
0,450500,-9.57702
0,451000,-7.28671
0,451500,1.75021
0,452000,12.4192
0,452500,-19.0046
0,453000,-16.0603
0,453500,-5.00498
0,454000,-16.7463
0,454500,-20.4292
0,455000,-19.1163
0,455500,-14.444
0,456000,-7.27661
0,456500,-26.2014
0,457000,-18.5306
0,457500,-9.69441
0,458000,-20.919
0,458500,-29.0231
0,459000,-17.1673
0,459500,-15.4944
0,460000,-12.5197
0,460500,-25.3411
0,461000,-6.40237
0,461500,-29.2962
0,462000,-15.621
0,462500,8.32659
0,463000,5.35493
0,463500,-4.66648
0,464000,0.251415
0,464500,-4.95771
0,465000,10.1077
0,465500,3.38824
0,466000,-3.56709
0,466500,-1.31351
0,467000,-4.23732
0,467500,-16.0492
0,468000,0.152297
0,468500,-8.76603
0,469000,-4.93872
0,469500,0.0880045
0,470000,17.7913
0,470500,2.45255
0,471000,32.1032
0,471500,20.128
0,472000,-1.9437
0,472500,17.5033
0,473000,3.5599
0,473500,9.74584
0,474000,-14.946
0,474500,7.2758
0,475000,5.54362
0,475500,8.05618
0,476000,11.2145
0,476500,-2.25137
0,477000,0.526772
0,477500,10.042
0,478000,20.7528
0,478500,-5.98285
0,479000,6.90038
0,479500,-10.0991
0,480000,8.57696
0,480500,7.77147
0,481000,-1.06885
0,481500,1.77039
0,482000,-6.65265
0,482500,7.99098
0,483000,2.57036
0,483500,-5.25567
0,484000,-11.3111
0,484500,5.33388
0,485000,9.00005
0,485500,-2.36044
0,486000,4.11615
0,486500,-10.4144
0,487000,-3.79521
0,487500,-14.8144
0,488000,1.61232
0,488500,4.23442
0,489000,8.34687
0,489500,7.57763
0,490000,31.4766
0,490500,-0.738122
0,491000,-8.20832
0,491500,1.19022
0,492000,-4.11458
0,492500,2.43062
0,493000,5.41129
0,493500,-1.71265
0,494000,19.5618
0,494500,5.66705
0,495000,-2.18103
0,495500,5.09081
0,496000,13.5914
0,496500,1.19925
0,497000,14.9298
0,497500,12.752
0,498000,11.5187
0,498500,7.76935
0,499000,5.91226
0,499500,-7.40678
0,500000,46.1061
0,500500,-76.1086
0,501000,-18.5199
0,501500,1.87224
0,502000,-19.4366
0,502500,15.2391
0,503000,22.1749
0,503500,18.5226
0,504000,1.51564
0,504500,-3.56683
0,505000,-7.56369
0,505500,-3.04468
0,506000,-5.44437
0,506500,-4.38084
0,507000,5.82966
0,507500,-8.04921
0,508000,-1.82699
0,508500,-12.4575
0,509000,6.49938
0,509500,6.59126
0,510000,19.463
0,510500,15.3825
0,511000,1.24301
0,511500,25.3035
