Время,Время моделирования,Стац - средняя реология
0,195500,-24.2929
0,196000,-33.6472
0,196500,-27.6522
0,197000,-15.258
0,197500,-13.3317
0,198000,-20.3085
0,198500,-20.6302
0,199000,-13.8602
0,199500,-13.651
0,200000,-6.16898
0,200500,-15.2625
0,201000,38.5878
0,201500,-0.363977
0,202000,-23.5863
0,202500,-10.9238
0,203000,-19.4093
0,203500,-7.17684
0,204000,-6.51292
0,204500,-14.3599
0,205000,-17.7742
0,205500,-15.5718
0,206000,-11.5973
0,206500,-13.3308
0,207000,-10.7065
0,207500,-14.8064
0,208000,-8.51146
0,208500,-10.2297
0,209000,-19.0509
0,209500,-12.9618
0,210000,-17.7357
0,210500,-26.1963
0,211000,-17.599
0,211500,-9.37919
0,212000,-5.19715
0,212500,-8.48043
0,213000,-29.2265
0,213500,-7.73888
0,214000,-9.97637
0,214500,-10.9531
0,215000,-1.58418
0,215500,-22.2809
0,216000,-21.207
0,216500,-21.1138
0,217000,-18.7501
0,217500,-13.7771
0,218000,2.82814
0,218500,-18.8841
0,219000,-23.0479
0,219500,-26.3102
0,220000,-17.2068
0,220500,-13.9033
0,221000,-12.5236
0,221500,-9.72512
0,222000,-18.61
0,222500,-21.2072
0,223000,-15.1011
0,223500,-15.4844
0,224000,-14.9265
0,224500,-18.6235
0,225000,-17.3427
0,225500,-19.1258
0,226000,-16.0735
0,226500,-20.637
0,227000,-29.1744
0,227500,-6.5844
0,228000,-22.7248
0,228500,-10.414
0,229000,-4.40068
0,229500,-10.1438
0,230000,-13.9347
0,230500,-19.5711
0,231000,-2.58289
0,231500,-11.1151
0,232000,-4.83222
0,232500,-5.62792
0,233000,-19.2963
0,233500,-12.2482
0,234000,-6.89688
0,234500,-11.0035
0,235000,-17.9826
0,235500,-6.76434
0,236000,-10.7496
0,236500,-8.14548
0,237000,-11.3826
0,237500,-5.49033
0,238000,-7.64001
0,238500,-12.649
0,239000,-14.2021
0,239500,-8.38643
0,240000,-3.94628
0,240500,-7.98772
0,241000,-4.37129
0,241500,-14.2241
0,242000,-12.4489
0,242500,-10.7036
0,243000,-7.39785
0,243500,-5.35941
0,244000,-6.28801
0,244500,-7.98995
0,245000,-12.2633
0,245500,-19.995
0,246000,-14.1841
0,246500,-9.61731
0,247000,-17.9577
0,247500,-10.2192
0,248000,-8.17591
0,248500,-12.5694
0,249000,-23.7397
0,249500,-13.4235
0,250000,-17.433
0,250500,-9.67708
0,251000,-7.73532
0,251500,-12.1853
0,252000,-16.5675
0,252500,-17.4708
0,253000,-17.4871
0,253500,-15.1497
0,254000,-6.6726
0,254500,-15.6846
0,255000,-1.36503
0,255500,-15.5395
0,256000,-11.4881
0,256500,-6.06783
0,257000,-12.6122
0,257500,-19.6161
0,258000,-7.16032
0,258500,-13.3424
0,259000,-14.4991
0,259500,-0.986079
0,260000,-7.76416
0,260500,-11.3473
0,261000,-10.809
0,261500,-12.2604
0,262000,-10.6396
0,262500,-10.9667
0,263000,-12.4314
0,263500,-10.8075
0,264000,-19.4472
0,264500,-4.90373
0,265000,-9.50589
0,265500,-8.18969
0,266000,-13.516
0,266500,-3.60426
0,267000,-9.69744
0,267500,-9.99259
0,268000,-17.9614
0,268500,-11.2573
0,269000,-9.87387
0,269500,-11.0277
0,270000,-17.3785
0,270500,-5.83998
0,271000,-11.0757
0,271500,-17.2848
0,272000,-8.8851
0,272500,-13.1364
0,273000,-8.49146
0,273500,-10.5881
0,274000,-14.5391
0,274500,-7.70982
0,275000,-21.9602
0,275500,-13.9213
0,276000,-10.127
0,276500,-14.1571
0,277000,-8.92044
0,277500,-19.995
0,278000,-15.057
0,278500,-14.0909
0,279000,-19.9757
0,279500,-7.33384
0,280000,-9.85296
0,280500,-22.8055
0,281000,-16.2275
0,281500,-8.50088
0,282000,-15.7679
0,282500,-15.6311
0,283000,-21.2537
0,283500,-12.1651
0,284000,-15.5033
0,284500,-13.8406
0,285000,-18.2791
0,285500,-25.111
0,286000,-13.4438
0,286500,-20.5476
0,287000,-14.8098
0,287500,-15.5801
0,288000,-27.4193
0,288500,-11.4896
0,289000,-10.059
0,289500,-22.6804
0,290000,-28.4238
0,290500,-24.4836
0,291000,-25.1844
0,291500,-22.9398
0,292000,-395.019
0,292500,-377.38
0,293000,-371.772
0,293500,-379.103
0,294000,-380.278
0,294500,-378.314
0,295000,-382.8
0,295500,-376.314
0,296000,-370.059
0,296500,-384.886
0,297000,-370.807
0,297500,-375.537
0,298000,-379.946
0,298500,-386.376
0,299000,-375.468
0,299500,-376.349
0,300000,-376.548
0,300500,-382.144
0,301000,-381.866
0,301500,-384.457
0,302000,-380.778
0,302500,-383.088
0,303000,-390.576
0,303500,-20.1948
0,304000,-36.7766
0,304500,-29.4171
0,305000,-41.4478
0,305500,-33.2926
0,306000,-44.4667
0,306500,-32.4706
0,307000,-47.554
0,307500,-41.3342
0,308000,-27.4751
0,308500,-35.2427
0,309000,-28.9281
0,309500,-37.2729
0,310000,-33.9727
0,310500,-34.1474
0,311000,-37.1417
0,311500,-35.435
0,312000,-28.9038
0,312500,-48.9385
0,313000,-28.871
0,313500,-34.5721
0,314000,-36.0693
0,314500,-25.5244
0,315000,-30.3964
0,315500,-36.77
0,316000,-37.5598
0,316500,-34.9044
0,317000,-35.7869
0,317500,-43.36
0,318000,-37.7591
0,318500,-37.3197
0,319000,-29.8851
0,319500,-32.5327
0,320000,-42.003
0,320500,-26.4683
0,321000,-28.0154
0,321500,-30.5422
0,322000,-37.6768
0,322500,-26.4608
0,323000,-35.7082
0,323500,-41.4413
0,324000,-34.1059
0,324500,-39.7235
0,325000,-36.1032
0,325500,-33.597
0,326000,-41.8949
0,326500,-36.8376
0,327000,-42.0103
0,327500,-46.2956
0,328000,-34.85
0,328500,-37.2123
0,329000,-37.5219
0,329500,-44.3422
0,330000,-38.8027
0,330500,-36.6771
0,331000,-35.5183
0,331500,-40.4247
0,332000,-34.1616
0,332500,-42.9277
0,333000,-42.526
0,333500,-27.336
0,334000,-24.2439
0,334500,-33.736
0,335000,-35.2612
0,335500,-40.284
0,336000,-30.3832
0,336500,-40.6426
0,337000,-38.647
0,337500,-34.9689
0,338000,-37.5515
0,338500,-37.0426
0,339000,-28.7146
0,339500,-35.4207
0,340000,-35.4204
0,340500,-30.7119
0,341000,-43.8214
0,341500,-42.0265
0,342000,-42.1181
0,342500,-32.7784
0,343000,-35.6147
0,343500,-31.3647
0,344000,-39.3922
0,344500,-27.0532
0,345000,-30.4146
0,345500,-32.7649
0,346000,-32.5056
0,346500,-29.0198
0,347000,-30.4584
0,347500,-33.6673
0,348000,-31.0805
0,348500,-31.5412
0,349000,-38.8364
0,349500,-37.793
0,350000,-35.2669
0,350500,-35.9184
0,351000,-38.8578
0,351500,-34.023
0,352000,-27.0506
0,352500,-35.5181
0,353000,-34.7343
0,353500,-27.6351
0,354000,-22.6916
0,354500,-32.5536
0,355000,-31.0819
0,355500,-31.5957
0,356000,-40.7444
0,356500,-29.0804
0,357000,-29.8533
0,357500,-34.1657
0,358000,-21.4686
0,358500,-29.1772
0,359000,-36.293
0,359500,-28.8876
0,360000,-24.4172
0,360500,-22.4306
0,361000,-25.9019
0,361500,-32.5132
0,362000,-23.5112
0,362500,-28.171
0,363000,-33.2857
0,363500,-32.9155
0,364000,-31.6962
0,364500,-8.62978
0,365000,-21.2377
0,365500,-36.1733
0,366000,-19.6383
0,366500,-19.3556
0,367000,-11.6167
0,367500,-8.73586
0,368000,-11.5363
0,368500,-16.5141
0,369000,-10.1353
0,369500,-7.20749
0,370000,-0.582366
0,370500,-9.51198
0,371000,-19.9599
0,371500,-8.83907
0,372000,-21.6401
0,372500,0.665059
0,373000,-22.4073
0,373500,-7.60452
0,374000,-20.8214
0,374500,-7.68185
0,375000,-4.8566
0,375500,-7.64326
0,376000,-6.37701
0,376500,0.634886
0,377000,-3.52596
0,377500,-19.8669
0,378000,-2.8026
0,378500,-20.9007
0,379000,-13.5389
0,379500,-4.24897
0,380000,-10.2042
0,380500,-11.7655
0,381000,-13.0864
0,381500,-3.63182
0,382000,-5.56043
0,382500,-3.36783
0,383000,-9.83529
0,383500,-9.93083
0,384000,-0.469788
0,384500,0.317023
0,385000,-9.89415
0,385500,-11.6936
0,386000,-1.18281
0,386500,-12.0648
0,387000,-5.08144
0,387500,-28.6263
0,388000,-17.1131
0,388500,-13.2544
0,389000,-32.8556
0,389500,-19.1894
0,390000,-23.2453
0,390500,-26.9342
0,391000,-28.9499
0,391500,-30.4077
0,392000,-20.0634
0,392500,-18.3325
0,393000,-7.19717
0,393500,-23.0235
0,394000,-22.0356
0,394500,-32.1165
0,395000,-26.0933
0,395500,-18.139
0,396000,-22.9985
0,396500,-28.0303
0,397000,-31.7888
0,397500,-18.3628
0,398000,-36.5149
0,398500,-44.3584
0,399000,-26.1064
0,399500,-24.773
0,400000,-33.2118
0,400500,-33.4516
0,401000,-30.1883
0,401500,-29.2976
0,402000,-23.6182
0,402500,-25.1957
0,403000,-31.9495
0,403500,-20.7795
0,404000,-29.823
0,404500,-24.1042
0,405000,-26.4391
0,405500,-27.7874
0,406000,-32.4613
0,406500,-23.6416
0,407000,-22.1622
0,407500,-18.2958
0,408000,-24.4912
0,408500,-23.1103
0,409000,-28.6189
0,409500,-20.7648
0,410000,-25.016
0,410500,-23.6055
0,411000,-16.1499
0,411500,-32.9432
0,412000,-22.799
0,412500,-13.6537
0,413000,-25.7747
0,413500,-17.6887
0,414000,-33.5988
0,414500,-23.425
0,415000,-19.0817
0,415500,-14.8419
0,416000,-14.2642
0,416500,-15.4771
0,417000,-15.8242
0,417500,-12.691
0,418000,-8.09045
0,418500,-27.8372
0,419000,-36.655
0,419500,-16.5652
0,420000,-19.0863
0,420500,-18.9014
0,421000,-23.9974
0,421500,-15.8193
0,422000,-21.8333
0,422500,-16.9902
0,423000,-16.6623
0,423500,-17.0255
0,424000,-35.6551
0,424500,-14.8167
0,425000,-20.3842
0,425500,-17.4457
0,426000,-17.5094
0,426500,-25.9394
0,427000,-21.3476
0,427500,-19.1826
0,428000,-20.4914
0,428500,-10.8264
0,429000,-14.3914
0,429500,-17.0875
0,430000,-10.7604
0,430500,-20.8158
0,431000,-26.606
0,431500,-12.4754
0,432000,-13.1158
0,432500,-2.88693
0,433000,-19.1269
0,433500,-4.78698
0,434000,-9.16236
0,434500,-20.0079
0,435000,-6.39139
0,435500,-2.18724
0,436000,-12.1345
0,436500,-2.96917
0,437000,-17.4683
0,437500,-9.95802
0,438000,-22.9149
0,438500,0.872906
0,439000,-4.99449
0,439500,-3.31584
0,440000,-4.32819
0,440500,-10.0828
0,441000,-16.8935
0,441500,-8.22441
0,442000,-16.205
0,442500,-5.01499
0,443000,-13.7637
0,443500,5.38808
0,444000,1.77129
0,444500,-2.73013
0,445000,7.70379
0,445500,-18.0559
