time,x,Давление
32786.6,59460.2,6.06825e+06
32786.6,60168.1,5.94365e+06
32786.6,60876,5.82877e+06
32786.6,61583.8,5.7725e+06
32786.6,62291.7,5.72776e+06
32786.6,62999.5,5.702e+06
32786.6,63707.4,5.6138e+06
32786.6,64415.3,5.542e+06
32786.6,65123.1,5.6155e+06
32786.6,65831,5.70726e+06
32786.6,66538.8,5.73555e+06
32786.6,67246.7,5.72018e+06
32786.6,67954.6,5.64723e+06
32786.6,68662.4,5.55037e+06
32786.6,69370.3,5.528e+06
32786.6,70078.1,5.55623e+06
32786.6,70786,5.60256e+06
33969.5,0,6e+06
33969.5,707.86,5.98693e+06
33969.5,1415.72,5.93976e+06
33969.5,2123.58,5.9713e+06
33969.5,2831.44,6.12507e+06
33969.5,3539.3,6.20093e+06
33969.5,4247.16,6.12152e+06
33969.5,4955.02,5.97793e+06
33969.5,5662.88,5.82663e+06
33969.5,6370.74,5.81727e+06
33969.5,7078.6,5.91031e+06
33969.5,7786.46,5.94903e+06
33969.5,8494.32,5.94077e+06
33969.5,9202.18,5.89147e+06
33969.5,9910.04,5.85366e+06
33969.5,10617.9,5.89825e+06
33969.5,11325.8,6.00329e+06
33969.5,12033.6,5.99268e+06
33969.5,12741.5,5.99177e+06
33969.5,13449.3,6.06688e+06
33969.5,14157.2,6.16422e+06
33969.5,14865.1,6.27873e+06
33969.5,15572.9,6.32867e+06
33969.5,16280.8,6.38498e+06
33969.5,16988.6,6.44823e+06
33969.5,17696.5,6.34282e+06
33969.5,18404.4,6.19703e+06
33969.5,19112.2,6.15921e+06
33969.5,19820.1,6.14054e+06
33969.5,20527.9,6.15012e+06
33969.5,21235.8,6.15533e+06
33969.5,21943.7,6.13648e+06
33969.5,22651.5,6.09657e+06
33969.5,23359.4,6.05241e+06
33969.5,24067.2,6.04483e+06
33969.5,24775.1,6.04495e+06
33969.5,25483,5.9981e+06
33969.5,26190.8,5.94965e+06
33969.5,26898.7,5.96685e+06
33969.5,27606.5,6.01728e+06
33969.5,28314.4,5.99765e+06
33969.5,29022.3,5.92669e+06
33969.5,29730.1,5.89971e+06
33969.5,30438,5.93756e+06
33969.5,31145.8,5.9318e+06
33969.5,31853.7,5.83851e+06
33969.5,32561.6,5.80042e+06
33969.5,33269.4,5.81573e+06
33969.5,33977.3,5.80005e+06
33969.5,34685.1,5.76263e+06
33969.5,35393,5.81554e+06
33969.5,36100.9,5.92366e+06
33969.5,36808.7,5.92167e+06
33969.5,37516.6,5.88097e+06
33969.5,38224.4,5.85383e+06
33969.5,38932.3,5.81018e+06
33969.5,39640.2,5.74975e+06
33969.5,40348,5.75506e+06
33969.5,41055.9,5.85706e+06
33969.5,41763.7,5.9638e+06
33969.5,42471.6,6.03985e+06
33969.5,43179.5,5.96094e+06
33969.5,43887.3,5.83599e+06
33969.5,44595.2,5.83032e+06
33969.5,45303,5.78405e+06
33969.5,46010.9,5.72126e+06
33969.5,46718.8,5.76567e+06
33969.5,47426.6,5.79787e+06
33969.5,48134.5,5.7556e+06
33969.5,48842.3,5.75401e+06
33969.5,49550.2,5.77206e+06
33969.5,50258.1,5.76178e+06
33969.5,50965.9,5.76826e+06
33969.5,51673.8,5.7679e+06
33969.5,52381.6,5.75196e+06
33969.5,53089.5,5.74706e+06
33969.5,53797.4,5.72947e+06
33969.5,54505.2,5.68196e+06
33969.5,55213.1,5.65102e+06
33969.5,55920.9,5.70221e+06
33969.5,56628.8,5.83873e+06
33969.5,57336.7,5.92221e+06
33969.5,58044.5,6.01071e+06
33969.5,58752.4,6.10837e+06
33969.5,59460.2,6.06599e+06
33969.5,60168.1,5.94139e+06
33969.5,60876,5.82651e+06
33969.5,61583.8,5.77024e+06
33969.5,62291.7,5.7255e+06
33969.5,62999.5,5.69974e+06
33969.5,63707.4,5.61154e+06
33969.5,64415.3,5.53974e+06
33969.5,65123.1,5.61324e+06
33969.5,65831,5.705e+06
33969.5,66538.8,5.73329e+06
33969.5,67246.7,5.71792e+06
33969.5,67954.6,5.64497e+06
33969.5,68662.4,5.54811e+06
33969.5,69370.3,5.52574e+06
33969.5,70078.1,5.55397e+06
33969.5,70786,5.6003e+06
35152.4,0,6e+06
35152.4,707.86,5.98693e+06
35152.4,1415.72,5.93976e+06
35152.4,2123.58,5.9713e+06
35152.4,2831.44,6.12507e+06
35152.4,3539.3,6.20093e+06
35152.4,4247.16,6.12152e+06
35152.4,4955.02,5.97793e+06
35152.4,5662.88,5.82672e+06
35152.4,6370.74,5.81724e+06
35152.4,7078.6,5.91e+06
35152.4,7786.46,5.94859e+06
35152.4,8494.32,5.94032e+06
35152.4,9202.18,5.89093e+06
35152.4,9910.04,5.85287e+06
35152.4,10617.9,5.89778e+06
35152.4,11325.8,6.00358e+06
35152.4,12033.6,5.99291e+06
35152.4,12741.5,5.9912e+06
35152.4,13449.3,6.06574e+06
35152.4,14157.2,6.16227e+06
35152.4,14865.1,6.27584e+06
35152.4,15572.9,6.32539e+06
35152.4,16280.8,6.38143e+06
35152.4,16988.6,6.44459e+06
35152.4,17696.5,6.33877e+06
35152.4,18404.4,6.1924e+06
35152.4,19112.2,6.15442e+06
35152.4,19820.1,6.13567e+06
35152.4,20527.9,6.14527e+06
35152.4,21235.8,6.15052e+06
35152.4,21943.7,6.13172e+06
35152.4,22651.5,6.09193e+06
35152.4,23359.4,6.04789e+06
35152.4,24067.2,6.04034e+06
35152.4,24775.1,6.04045e+06
35152.4,25483,5.9936e+06
35152.4,26190.8,5.94515e+06
35152.4,26898.7,5.96235e+06
35152.4,27606.5,6.01278e+06
35152.4,28314.4,5.99315e+06
35152.4,29022.3,5.92219e+06
35152.4,29730.1,5.89521e+06
35152.4,30438,5.93306e+06
35152.4,31145.8,5.9273e+06
35152.4,31853.7,5.83401e+06
35152.4,32561.6,5.79592e+06
35152.4,33269.4,5.81123e+06
35152.4,33977.3,5.79555e+06
35152.4,34685.1,5.75813e+06
35152.4,35393,5.81104e+06
35152.4,36100.9,5.91916e+06
35152.4,36808.7,5.91717e+06
35152.4,37516.6,5.87647e+06
35152.4,38224.4,5.84933e+06
35152.4,38932.3,5.80568e+06
35152.4,39640.2,5.74525e+06
35152.4,40348,5.75056e+06
35152.4,41055.9,5.85256e+06
35152.4,41763.7,5.9593e+06
35152.4,42471.6,6.03535e+06
35152.4,43179.5,5.95644e+06
35152.4,43887.3,5.83149e+06
35152.4,44595.2,5.82582e+06
35152.4,45303,5.77955e+06
35152.4,46010.9,5.71676e+06
35152.4,46718.8,5.76117e+06
35152.4,47426.6,5.79337e+06
35152.4,48134.5,5.7511e+06
35152.4,48842.3,5.74951e+06
35152.4,49550.2,5.76756e+06
35152.4,50258.1,5.75727e+06
35152.4,50965.9,5.76376e+06
35152.4,51673.8,5.7634e+06
35152.4,52381.6,5.74746e+06
35152.4,53089.5,5.74256e+06
35152.4,53797.4,5.72497e+06
35152.4,54505.2,5.67746e+06
35152.4,55213.1,5.64652e+06
35152.4,55920.9,5.69771e+06
35152.4,56628.8,5.83423e+06
35152.4,57336.7,5.91771e+06
35152.4,58044.5,6.00621e+06
35152.4,58752.4,6.10387e+06
35152.4,59460.2,6.06149e+06
35152.4,60168.1,5.93689e+06
35152.4,60876,5.82201e+06
35152.4,61583.8,5.76574e+06
35152.4,62291.7,5.721e+06
35152.4,62999.5,5.69524e+06
35152.4,63707.4,5.60704e+06
35152.4,64415.3,5.53524e+06
35152.4,65123.1,5.60874e+06
35152.4,65831,5.7005e+06
35152.4,66538.8,5.72879e+06
35152.4,67246.7,5.71342e+06
35152.4,67954.6,5.64047e+06
