time,x,Давление
3082.81,1415.72,-59434.4
3082.81,2123.58,-58261.4
3082.81,2831.44,-56961.5
3082.81,3539.3,-55661.6
3082.81,4247.16,-54361.6
3082.81,4955.02,-53061.7
3082.81,5662.88,-51761.8
3082.81,6370.74,-50461.9
3082.81,7078.6,-49162
3082.81,7786.46,-47862.1
3082.81,8494.32,-46562.1
3082.81,9202.18,-45262.2
3082.81,9910.04,-43962.3
3082.81,10617.9,-42662.4
3082.81,11325.8,-41362.5
3082.81,12033.6,-40062.6
3082.81,12741.5,-38762.6
3082.81,13449.3,-37462.7
3082.81,14157.2,-36162.8
3082.81,14865.1,-34862.9
3082.81,15572.9,-33563
3082.81,16280.8,-32263.1
3082.81,16988.6,-30963.1
3082.81,17696.5,-29663.2
3082.81,18404.4,-28363.3
3082.81,19112.2,-27063.4
3082.81,19820.1,-25763.5
3082.81,20527.9,-24463.6
3082.81,21235.8,-23163.6
3082.81,21943.7,-21863.7
3082.81,22651.5,-20563.8
3082.81,23359.4,-19263.9
3082.81,24067.2,-17964
3082.81,24775.1,-16664.1
3082.81,25483,-15364.1
3082.81,26190.8,-14064.2
3082.81,26898.7,-12764.3
3082.81,27606.5,-11464.4
3082.81,28314.4,-10164.5
3082.81,29022.3,-8864.55
3082.81,29730.1,-7564.64
3082.81,30438,-6264.72
3082.81,31145.8,-4964.8
3082.81,31853.7,-3664.89
3082.81,32561.6,-2364.97
3082.81,33269.4,-1065.05
3082.81,33977.3,234.862
3082.81,34685.1,1534.78
3082.81,35393,2834.7
3082.81,36100.9,4134.61
3082.81,36808.7,5434.53
3082.81,37516.6,6734.45
3082.81,38224.4,8034.36
3082.81,38932.3,9334.28
3082.81,39640.2,10634.2
3082.81,40348,11934.1
3082.81,41055.9,13234
3082.81,41763.7,14533.9
3082.81,42471.6,15833.9
3082.81,43179.5,17133.8
3082.81,43887.3,18433.7
3082.81,44595.2,19733.6
3082.81,45303,21033.5
3082.81,46010.9,22333.4
3082.81,46718.8,23633.4
3082.81,47426.6,24933.3
3082.81,48134.5,26233.2
3082.81,48842.3,27533.1
3082.81,49550.2,28833
3082.81,50258.1,30132.9
3082.81,50965.9,31432.9
3082.81,51673.8,32732.8
3082.81,52381.6,34032.7
3082.81,53089.5,35332.6
3082.81,53797.4,36632.5
3082.81,54505.2,37932.4
3082.81,55213.1,39232.4
3082.81,55920.9,40532.3
3082.81,56628.8,41832.2
3082.81,57336.7,43132.1
3082.81,58044.5,44432
3082.81,58752.4,45731.9
3082.81,59460.2,47031.9
3082.81,60168.1,48331.8
3082.81,60876,49631.7
3082.81,61583.8,50931.6
3082.81,62291.7,52231.5
3082.81,62999.5,53531.4
3082.81,63707.4,54831.4
3082.81,64415.3,56131.3
3082.81,65123.1,57431.2
3082.81,65831,58731.1
3082.81,66538.8,60031
3082.81,67246.7,61330.9
3082.81,67954.6,62630.9
3082.81,68662.4,63930.8
3082.81,69370.3,65230.7
3082.81,70078.1,66530.6
3082.81,70786,67830.5
3974.74,0,-79494.8
3974.74,707.86,-78033.1
3974.74,1415.72,-76674.5
3974.74,2123.58,-75037.9
3974.74,2831.44,-73153.1
3974.74,3539.3,-71434.2
3974.74,4247.16,-69715.3
3974.74,4955.02,-67996.4
3974.74,5662.88,-66277.5
3974.74,6370.74,-64558.6
3974.74,7078.6,-62839.7
3974.74,7786.46,-61120.8
3974.74,8494.32,-59401.9
3974.74,9202.18,-57683
3974.74,9910.04,-55964.1
3974.74,10617.9,-54245.2
3974.74,11325.8,-52526.4
3974.74,12033.6,-50807.5
3974.74,12741.5,-49088.6
3974.74,13449.3,-47369.7
3974.74,14157.2,-45650.8
3974.74,14865.1,-43931.9
3974.74,15572.9,-42213
3974.74,16280.8,-40494.1
3974.74,16988.6,-38775.2
3974.74,17696.5,-37056.3
3974.74,18404.4,-35337.4
3974.74,19112.2,-33618.5
3974.74,19820.1,-31899.6
3974.74,20527.9,-30180.7
3974.74,21235.8,-28461.8
3974.74,21943.7,-26742.9
3974.74,22651.5,-25024
3974.74,23359.4,-23305.1
3974.74,24067.2,-21586.2
3974.74,24775.1,-19867.4
3974.74,25483,-18148.5
3974.74,26190.8,-16429.6
3974.74,26898.7,-14710.7
3974.74,27606.5,-12991.8
3974.74,28314.4,-11272.9
3974.74,29022.3,-9553.98
3974.74,29730.1,-7835.09
3974.74,30438,-6116.2
3974.74,31145.8,-4397.3
3974.74,31853.7,-2678.41
3974.74,32561.6,-959.511
3974.74,33269.4,759.384
