Время,Время моделирования,Стац - текущая реология
0,214000,-7.94731
0,214500,-8.90045
0,215000,0.475838
0,215500,-20.2492
0,216000,-19.163
0,216500,-19.0832
0,217000,-16.7053
0,217500,-11.7396
0,218000,4.8841
0,218500,-16.8474
0,219000,-21.0236
0,219500,-24.2763
0,220000,-15.1677
0,220500,-11.8611
0,221000,-10.4793
0,221500,-7.67493
0,222000,-16.5794
0,222500,-19.1755
0,223000,-13.0646
0,223500,-13.428
0,224000,-12.8893
0,224500,-16.5954
0,225000,-15.2956
0,225500,-17.0898
0,226000,-14.0205
0,226500,-18.588
0,227000,-27.1304
0,227500,-4.53718
0,228000,-20.6749
0,228500,-8.36772
0,229000,-2.36269
0,229500,-8.09153
0,230000,-11.9089
0,230500,-17.5304
0,231000,-0.542019
0,231500,-9.07631
0,232000,-2.80085
0,232500,-3.59519
0,233000,-17.2629
0,233500,-10.2089
0,234000,-4.85842
0,234500,-8.96821
0,235000,-15.9489
0,235500,-4.72872
0,236000,-8.71863
0,236500,-6.11263
0,237000,-9.34919
0,237500,-3.45918
0,238000,-5.62017
0,238500,-10.6281
0,239000,-12.174
0,239500,-6.36477
0,240000,-1.88934
0,240500,-5.94364
0,241000,-2.32228
0,241500,-12.1975
0,242000,-10.4183
0,242500,-8.68258
0,243000,-5.36852
0,243500,-3.33737
0,244000,-4.24363
0,244500,-5.95574
0,245000,-10.233
0,245500,-17.9866
0,246000,-12.1515
0,246500,-7.57957
0,247000,-15.9453
0,247500,-8.17357
0,248000,-6.15347
0,248500,-10.5328
0,249000,-21.7188
0,249500,-11.4017
0,250000,-15.4053
0,250500,-7.64501
0,251000,-5.70817
0,251500,-10.1441
0,252000,-14.5349
0,252500,-15.446
0,253000,-15.4655
0,253500,-13.1289
0,254000,-4.64962
0,254500,-13.667
0,255000,0.673914
0,255500,-13.5247
0,256000,-9.46183
0,256500,-4.04072
0,257000,-10.5893
0,257500,-17.6046
0,258000,-5.12772
0,258500,-11.32
0,259000,-12.4698
0,259500,1.05137
0,260000,-5.73192
0,260500,-9.31537
0,261000,-8.79305
0,261500,-10.2259
0,262000,-8.6141
0,262500,-8.93343
0,263000,-10.3943
0,263500,-8.7877
0,264000,-17.4364
0,264500,-2.87099
0,265000,-7.47487
0,265500,-6.16395
0,266000,-11.4809
0,266500,-1.56669
0,267000,-7.67808
0,267500,-7.95822
0,268000,-15.9294
0,268500,-9.22507
0,269000,-7.85024
