time,время_visc_in,visc_in
0,16580,10.9208
0,16594,10.9177
0,16611,10.9146
0,16627,11.0227
0,16642,10.9856
0,16657,10.9208
0,16672,11.0227
0,16688,11.0165
0,16703,10.8219
0,16718,11.0196
0,16733,11.0227
0,16747,10.9702
0,16763,10.9671
0,16779,10.8714
0,16793,11.0196
0,16809,11.0134
0,16824,10.9208
0,16838,10.9177
0,16855,10.9702
0,16872,10.8683
0,16886,10.8652
0,16901,10.9208
0,16917,11.0597
0,16932,11.0721
0,16947,10.9702
0,16962,10.964
0,16977,11.0227
0,16992,10.9702
0,17023,10.9208
0,17038,10.9177
0,17053,11.0227
0,17068,10.9702
0,17084,10.964
0,17100,10.9702
0,17115,10.9671
0,17129,11.0227
0,17145,11.3717
0,17161,11.3655
0,17175,11.2203
0,17191,11.1122
0,17220,11.0227
0,17237,11.0134
0,17251,10.9702
0,17266,11.0196
0,17297,11.0227
0,17313,11.0196
0,17328,11.0227
0,17343,10.9702
0,17357,10.964
0,17373,10.8714
0,17389,10.9146
0,17403,11.0196
0,17434,11.0134
0,17448,10.9733
0,17464,10.9702
0,17494,11.0721
0,17511,11.0659
0,17525,10.9702
0,17540,11.0721
0,17556,11.0659
0,17571,11.1153
0,17586,11.1092
0,17601,11.0227
0,17616,11.0196
0,17632,11.0165
0,17647,10.9208
0,17662,10.9393
0,17677,10.9702
0,17708,10.964
0,17723,11.1709
0,17738,11.0721
0,17768,10.9733
0,17784,10.964
0,17800,11.0196
0,17815,11.0721
0,17830,11.0659
0,17844,11.0227
0,17859,11.0196
0,17876,11.0227
0,17891,11.1122
0,17906,11.1092
0,17920,11.0721
0,17938,10.9918
0,17953,10.9208
0,17983,10.9115
0,17997,11.0227
0,18012,11.0196
0,18028,11.0227
0,18058,11.0165
0,18073,10.9208
0,18090,11.2234
0,18105,11.2172
0,18120,11.0721
0,18135,11.069
0,18150,11.0227
0,18166,11.1153
0,18181,11.1092
0,18195,10.9702
0,18211,11.0196
0,18226,11.0227
0,18241,11.0721
0,18256,11.0659
0,18272,11.1709
0,18286,11.0227
0,18302,11.0196
0,18348,11.0227
0,18363,10.9177
0,18378,10.9146
0,18394,11.1184
0,18411,11.0319
0,18426,11.0227
0,18440,11.0721
0,18456,11.0659
0,18473,11.1153
0,18487,11.0196
0,18503,11.0227
0,18532,11.0165
0,18548,11.0721
0,18563,11.1709
0,18578,11.1678
0,18594,11.0227
0,18608,11.0165
0,18623,10.9702
0,18639,11.0227
0,18654,11.0165
0,18669,11.1184
0,18684,11.0227
0,18716,10.9702
0,18730,10.964
0,18746,11.0752
0,18760,11.0227
0,18775,11.0165
0,18792,10.9702
0,18806,10.9671
0,18821,10.9208
0,18837,11.0227
0,18851,11.0165
0,18867,11.0721
0,18883,11.0567
0,18897,11.0196
0,18913,10.9733
0,18928,10.964
0,18944,10.8714
0,18958,10.8683
0,18974,10.8714
0,18989,10.8683
0,19003,10.8652
0,19020,11.0196
0,19050,11.0165
0,19065,10.9702
0,19096,10.8189
0,19111,11.1709
0,19126,11.1647
0,19142,10.9208
0,19158,10.8312
0,19172,10.8219
0,19188,10.8683
0,19204,10.8621
0,19218,10.7694
0,19233,10.9208
0,19248,10.9177
0,19264,11.0227
0,19279,11.0196
0,19294,10.9702
0,19309,11.0196
0,19324,11.0165
0,19339,10.8714
0,19356,10.8683
0,19370,10.8219
0,19386,10.9208
0,19401,10.9146
0,19416,10.9208
0,19431,10.9702
0,19462,11.0196
0,19477,11.0165
0,19494,10.7169
0,19508,10.9208
0,19523,10.9177
0,19538,10.9702
0,19569,10.8714
0,19599,10.8652
0,19615,10.8219
0,19630,10.8034
0,19646,10.7694
0,19660,11.0721
0,19675,11.0659
0,19691,10.9702
0,19705,11.0227
0,19737,10.8714
0,19751,10.8652
0,19766,10.8219
0,19783,10.8714
0,19797,10.8652
0,19812,10.8714
0,19827,10.8683
0,19842,10.9208
0,19859,10.9702
0,19874,10.964
0,19889,10.9208
0,19904,10.964
0,19919,10.9702
0,19934,10.9208
0,19949,10.9146
0,19965,10.9733
0,19980,10.72
0,20010,10.8219
0,20026,10.8158
0,20040,10.8714
0,20056,11.0196
0,20071,11.0134
0,20087,10.9702
0,20103,10.9671
0,20117,11.0227
0,20132,10.9208
0,20146,10.9146
0,20163,11.0227
0,20178,10.8312
0,20192,10.8189
0,20208,10.9208
